assay,Crbn Regulatory sequences,Embryo number,Intensity,Relative intensity to 455bp Regulatory sequence Mean
Assay 1,455bp,1,25200000,3.375092722
Assay 1,455bp,2,8570000,1.14779939
Assay 1,455bp,3,6800000,0.910739306
Assay 1,455bp,4,3520000,0.471441523
Assay 1,455bp,5,5390000,0.721894832
Assay 1,455bp,6,4610000,0.617427677
Assay 1,455bp,7,28100000,3.76349625
Assay 1,455bp,8,0,0
Assay 1,455bp,9,3220000,0.431261848
Assay 1,455bp,10,0,0
Assay 1,455bp,11,13700000,1.834871837
Assay 1,455bp,12,10200000,1.366108959
Assay 1,455bp,13,19500000,2.611678892
Assay 1,455bp,14,6930000,0.928150499
Assay 1,455bp,15,6840000,0.916096596
Assay 1,455bp,16,28800000,3.857248826
Assay 1,455bp,17,0,0
Assay 1,455bp,18,0,0
Assay 1,455bp,19,15800000,2.116129564
Assay 1,455bp,20,11200000,1.50004121
Assay 1,455bp,21,4520000,0.605373774
Assay 1,455bp,22,3280000,0.439297783
Assay 1,455bp,23,4280000,0.573230034
Assay 1,455bp,24,15500000,2.075949889
Assay 1,455bp,25,0,0
Assay 1,455bp,26,0,0
Assay 1,455bp,27,0,0
Assay 1,455bp,28,2590000,0.34688453
Assay 1,455bp,29,13600000,1.821478612
Assay 1,455bp,30,2350000,0.31474079
Assay 1,455bp,31,0,0
Assay 1,455bp,32,18500000,2.477746641
Assay 1,455bp,33,6090000,0.815647408
Assay 1,455bp,34,15700000,2.102736339
Assay 1,455bp,35,11100000,1.486647985
Assay 1,455bp,36,3630000,0.486174071
Assay 1,455bp,37,9640000,1.291106899
Assay 1,455bp,38,256000,0.034286656
Assay 1,455bp,39,15600000,2.089343114
Assay 1,455bp,40,7740000,1.036635622
Assay 1,455bp,41,6510000,0.871898953
Assay 1,455bp,42,1990000,0.266525179
Assay 1,455bp,43,2.50E+07,3.348306272
Assay 1,455bp,44,0,0
Assay 1,455bp,45,0,0
Assay 1,455bp,46,7800000,1.044671557
Assay 1,455bp,47,0,0
Assay 1,455bp,48,0,0
Assay 1,455bp,49,0,0
Assay 1,455bp,50,14200000,1.901837963
Assay 1,455bp,51,0,0
Assay 1,455bp,52,0,0
Assay 2,455bp,1,14500000,1.404494382
Assay 2,455bp,2,16700000,1.617590081
Assay 2,455bp,3,7860000,0.761332817
Assay 2,455bp,4,13600000,1.317318869
Assay 2,455bp,5,23400000,2.266563348
Assay 2,455bp,6,16100000,1.559473072
Assay 2,455bp,8,1.10E+07,1.065478497
Assay 2,455bp,9,5190000,0.502712127
Assay 2,455bp,10,2090000,0.202440914
Assay 2,455bp,11,3440000,0.333204184
Assay 2,455bp,12,0,0
Assay 2,455bp,13,14600000,1.41418055
Assay 2,455bp,14,0,0
Assay 2,455bp,15,4720000,0.457187137
Assay 2,455bp,16,2980000,0.288647811
Assay 2,455bp,17,1300000,0.125920186
Assay 2,455bp,18,4350000,0.421348315
Assay 2,455bp,19,3070000,0.297365362
Assay 2,455bp,20,30400000,2.944595118
Assay 2,455bp,21,11600000,1.123595506
Assay 2,455bp,22,15900000,1.540100736
Assay 2,455bp,23,6200000,0.600542425
Assay 2,455bp,24,906000,0.087756683
Assay 2,455bp,25,13100000,1.268888028
Assay 2,455bp,26,0,0
Assay 2,455bp,27,0,0
Assay 2,455bp,28,0,0
Assay 2,455bp,29,9770000,0.946338628
Assay 2,455bp,30,4440000,0.430065866
Assay 2,455bp,31,5980000,0.579232855
Assay 2,455bp,32,5370000,0.52014723
Assay 2,455bp,33,1.10E+07,1.065478497
Assay 2,455bp,34,9060000,0.877566835
Assay 2,455bp,35,0,0
Assay 2,455bp,36,37900000,3.67105773
Assay 2,455bp,37,7160000,0.69352964
Assay 2,455bp,38,0,0
Assay 2,455bp,39,738000,0.071483921
Assay 2,455bp,40,11400000,1.104223169
Assay 2,455bp,41,3970000,0.384540876
Assay 2,455bp,42,28800000,2.789616428
