Well,Position,Gene,Group,TecRep,BioRep,Cq
1,A1,eef1a,control,1,1,20.22205036
2,A2,eef1a,ko,1,1,19.52422813
3,A3,eef1a,control,1,2,20.00219202
4,A4,eef1a,ko,1,2,20.12412209
5,A5,eef1a,control,1,3,20.00415421
6,A6,eef1a,ko,1,3,20.02001992
7,A7,eef1a,control,1,4,20.3920522
8,A8,eef1a,ko,1,4,19.80192436
9,A9,eef1a,control,1,5,20.15022056
10,A10,eef1a,ko,1,5,20.41962145
11,A11,eef1a,control,1,6,20.53203822
12,A12,eef1a,ko,1,6,20.21208444
13,A13,eef1a,control,1,7,19.81196059
14,A14,eef1a,ko,1,7,20.25520043
15,A15,eef1a,control,1,8,20.0420252
16,A16,eef1a,ko,1,8,19.82542042
17,A17,acta1c,control,1,1,32.38817082
18,A18,acta1c,ko,1,1,32.19469783
19,A19,acta1c,control,1,2,31.32195809
20,A20,acta1c,ko,1,2,31.18569791
21,A21,acta1c,control,1,3,32.25032144
22,A22,acta1c,ko,1,3,31.30348152
23,A23,acta1c,control,1,4,32.53181263
24,A24,acta1c,ko,1,4,31.38077794
25,B1,eef1a,control,2,1,20.14051055
26,B2,eef1a,ko,2,1,19.9520622
27,B3,eef1a,control,2,2,19.20114204
28,B4,eef1a,ko,2,2,20.13520521
29,B5,eef1a,control,2,3,19.42051989
30,B6,eef1a,ko,2,3,20.20245108
31,B7,eef1a,control,2,4,20.24057721
32,B8,eef1a,ko,2,4,19.70024207
33,B9,eef1a,control,2,5,20.52026262
34,B10,eef1a,ko,2,5,20.52029201
35,B11,eef1a,control,2,6,20.41220252
36,B12,eef1a,ko,2,6,19.95200202
37,B13,eef1a,control,2,7,19.70428353
38,B14,eef1a,ko,2,7,20.10393622
39,B15,eef1a,control,2,8,20.52045789
40,B16,eef1a,ko,2,8,19.92541351
41,B17,acta1c,control,2,1,31.62110716
42,B18,acta1c,ko,2,1,32.3074926
43,B19,acta1c,control,2,2,32.28663107
44,B20,acta1c,ko,2,2,31.03246674
45,B21,acta1c,control,2,3,31.21337645
46,B22,acta1c,ko,2,3,31.24285431
47,B23,acta1c,control,2,4,31.51342034
48,B24,acta1c,ko,2,4,31.36963401
49,C1,crbn_1,control,1,1,29.32252563
50,C2,crbn_1,ko,1,1,31.9364322
51,C3,crbn_1,control,1,2,27.44053344
52,C4,crbn_1,ko,1,2,29.83514214
53,C5,crbn_1,control,1,3,28.22501919
54,C6,crbn_1,ko,1,3,30.31903492
55,C7,crbn_1,control,1,4,27.94193219
56,C8,crbn_1,ko,1,4,29.13059425
57,C9,crbn_1,control,1,5,28.41955484
58,C10,crbn_1,ko,1,5,30.1922134
59,C11,crbn_1,control,1,6,29.22247273
60,C12,crbn_1,ko,1,6,32.22191022
61,C13,crbn_1,control,1,7,28.40282451
62,C14,crbn_1,ko,1,7,30.45101354
63,C15,crbn_1,control,1,8,29.19326422
64,C16,crbn_1,ko,1,8,32.21019731
65,C17,acta1c,control,1,5,31.87730287
66,C18,acta1c,ko,1,5,31.17532714
67,C19,acta1c,control,1,6,31.52949229
68,C20,acta1c,ko,1,6,32.5748701
69,C21,acta1c,control,1,7,31.12153625
70,C22,acta1c,ko,1,7,32.13494242
71,C23,acta1c,control,1,8,31.4828582
72,C24,acta1c,ko,1,8,32.2515838
73,D1,crbn_1,control,2,1,29.22524839
74,D2,crbn_1,ko,2,1,32.03030469
75,D3,crbn_1,control,2,2,28.13462475
76,D4,crbn_1,ko,2,2,29.33212191
77,D5,crbn_1,control,2,3,28.30493935
78,D6,crbn_1,ko,2,3,29.3283192
79,D7,crbn_1,control,2,4,28.12222203
80,D8,crbn_1,ko,2,4,29.19992138
81,D9,crbn_1,control,2,5,28.19383092
82,D10,crbn_1,ko,2,5,30.39131223
83,D11,crbn_1,control,2,6,29.22198327
84,D12,crbn_1,ko,2,6,32.53011203
85,D13,crbn_1,control,2,7,28.11932534
86,D14,crbn_1,ko,2,7,30.20197533
87,D15,crbn_1,control,2,8,29.13430322
88,D16,crbn_1,ko,2,8,32.02812141
89,D17,acta1c,control,2,5,31.27085329
90,D18,acta1c,ko,2,5,31.85422043
91,D19,acta1c,control,2,6,31.44532275
92,D20,acta1c,ko,2,6,32.24478889
93,D21,acta1c,control,2,7,32.95100227
94,D22,acta1c,ko,2,7,31.96017437
95,D23,acta1c,control,2,8,31.30104808
96,D24,acta1c,ko,2,8,32.444118
97,E1,crbn_2,control,1,1,29.02931429
98,E2,crbn_2,ko,1,1,31.50129125
99,E3,crbn_2,control,1,2,29.32903137
100,E4,crbn_2,ko,1,2,31.21107292
101,E5,crbn_2,control,1,3,28.21294829
102,E6,crbn_2,ko,1,3,30.2292503
103,E7,crbn_2,control,1,4,29.7524374
104,E8,crbn_2,ko,1,4,31.2921166
105,E9,crbn_2,control,1,5,28.52170105
106,E10,crbn_2,ko,1,5,31.25129908
107,E11,crbn_2,control,1,6,30.52244131
108,E12,crbn_2,ko,1,6,32.36212836
109,E13,crbn_2,control,1,7,29.29509243
110,E14,crbn_2,ko,1,7,31.32992926
111,E15,crbn_2,control,1,8,30.14129429
112,E16,crbn_2,ko,1,8,32.11531524
113,E17,nexn,control,1,1,26.21300552
114,E18,nexn,ko,1,1,26.43038084
115,E19,nexn,control,1,2,26.44529275
116,E20,nexn,ko,1,2,26.45744322
117,E21,nexn,control,1,3,26.91555131
