Well,Position,Gene,Group,TecRep,BioRep,Cq
1,A1,eef1a,control,1,1,18.44305800
2,A2,eef1a,ko,1,1,18.77881049
3,A3,eef1a,control,1,2,18.60647996
4,A4,eef1a,ko,1,2,18.64294617
5,A5,eef1a,control,1,3,18.68231748
6,A6,eef1a,ko,1,3,18.27927431
7,A7,eef1a,control,1,4,18.87207728
8,A8,eef1a,ko,1,4,18.55882175
9,A9,eef1a,control,1,5,18.83685586
10,A10,eef1a,ko,1,5,18.17552448
1,B1,eef1a,control,2,1,18.91324602
2,B2,eef1a,ko,2,1,18.71627785
3,B3,eef1a,control,2,2,18.31641808
4,B4,eef1a,ko,2,2,18.96864178
5,B5,eef1a,control,2,3,18.04052883
6,B6,eef1a,ko,2,3,18.93391185
7,B7,eef1a,control,2,4,18.86863640
8,B8,eef1a,ko,2,4,18.58429521
9,B9,eef1a,control,2,5,18.69417969
10,B10,eef1a,ko,2,5,18.20116652
1,C1,crbn_1,control,1,1,29.14103541
2,C2,crbn_1,ko,1,1,30.40483738
3,C3,crbn_1,control,1,2,29.72382610
4,C4,crbn_1,ko,1,2,30.23118715
5,C5,crbn_1,control,1,3,29.10588428
6,C6,crbn_1,ko,1,3,30.63960040
7,C7,crbn_1,control,1,4,29.53787679
8,C8,crbn_1,ko,1,4,30.87659466
9,C9,crbn_1,control,1,5,29.99648626
10,C10,crbn_1,ko,1,5,30.88144302
1,D1,crbn_1,control,2,1,29.99670222
2,D2,crbn_1,ko,2,1,30.77612651
3,D3,crbn_1,control,2,2,29.33242572
4,D4,crbn_1,ko,2,2,30.17775856
5,D5,crbn_1,control,2,3,29.27017454
6,D6,crbn_1,ko,2,3,30.53779647
7,D7,crbn_1,control,2,4,29.34960342
8,D8,crbn_1,ko,2,4,30.40313435
9,D9,crbn_1,control,2,5,29.34757579
10,D10,crbn_1,ko,2,5,30.22159957
1,E1,mrf,control,1,1,24.66532987
2,E2,mrf,ko,1,1,26.99530189
3,E3,mrf,control,1,2,24.43730894
4,E4,mrf,ko,1,2,26.16845369
5,E5,mrf,control,1,3,24.74741601
6,E6,mrf,ko,1,3,26.73150951
7,E7,mrf,control,1,4,24.97208502
8,E8,mrf,ko,1,4,26.41042947
9,E9,mrf,control,1,5,24.67650176
10,E10,mrf,ko,1,5,26.79465700
1,F1,mrf,control,1,1,24.47590401
2,F2,mrf,ko,2,1,26.31597819
3,F3,mrf,control,2,2,24.14637710
4,F4,mrf,ko,2,2,26.77740640
5,F5,mrf,control,2,3,24.47688109
6,F6,mrf,ko,2,3,26.56290908
7,F7,mrf,control,2,4,24.01101692
8,F8,mrf,ko,2,4,26.39448457
9,F9,mrf,control,2,5,24.12261867
10,F10,mrf,ko,2,5,26.36718722
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
