	Gene.ID	Gene.Name	Bit.Score	Evalue_num
1	KH2012:KH.C1.1	C1orf158	123	4.82e-35
2	KH2012:KH.C1.10	LASP1	207	6.63e-67
3	KH2012:KH.C1.1000	PDCD6IP	589	0
4	KH2012:KH.C1.1001	UBE2M	295	1.01e-103
5	KH2012:KH.C1.1003	GLIPR2	74.7	6.76e-16
6	KH2012:KH.C1.1004	KATNA1	572	0
7	KH2012:KH.C1.1005	PLCH1	636	0
8	KH2012:KH.C1.1007	C11orf70	217	1.51e-70
9	KH2012:KH.C1.1008	MFAP1	371	2.77e-125
10	KH2012:KH.C1.1009	CCDC50	75.9	1.14e-14
11	KH2012:KH.C1.101	CDIPT	179	1.65e-56
12	KH2012:KH.C1.1010	ITLN2	146	3.77e-39
13	KH2012:KH.C1.1011	RAB35	300	5.31e-105
14	KH2012:KH.C1.1012	CHMP5	285	9.26e-99
15	KH2012:KH.C1.1016	NR6A1	479	6.67e-164
16	KH2012:KH.C1.1017	NRCAM	520	1.31e-162
17	KH2012:KH.C1.1019	CABP5	47.8	4.01e-06
18	KH2012:KH.C1.1020	MOXD1	381	2.57e-124
19	KH2012:KH.C1.1021	PEX5	499	4.71e-170
20	KH2012:KH.C1.1023	TM9SF2	835	0
21	KH2012:KH.C1.1024	GRWD1	506	7.19e-179
22	KH2012:KH.C1.1025	NFX1	670	0
23	KH2012:KH.C1.1026	GPR75-ASB3	50.4	1.24e-06
24	KH2012:KH.C1.1027	HDAC1	675	0
25	KH2012:KH.C1.1029	DDX1	944	0
26	KH2012:KH.C1.1031	UXT	130	1.51e-39
27	KH2012:KH.C1.1032	GOLPH3	385	1.09e-135
28	KH2012:KH.C1.1033	ADHFE1	542	0
29	KH2012:KH.C1.1034	PAQR5	62.4	4.01e-11
30	KH2012:KH.C1.1035	METTL27	78.6	1.4e-17
31	KH2012:KH.C1.1037	LRP6	171	2.23e-43
32	KH2012:KH.C1.1039	PRSS12	224	8.89e-62
33	KH2012:KH.C1.104	NDUFAF5	300	7.97e-101
34	KH2012:KH.C1.1041	NIF3L1	316	4.98e-106
35	KH2012:KH.C1.1043	MTF1	311	3.52e-97
36	KH2012:KH.C1.1044	SLC7A6	555	0
37	KH2012:KH.C1.1045	LRRC15	97.4	5.85e-21
38	KH2012:KH.C1.1046	EPB41L1	474	1.66e-153
39	KH2012:KH.C1.1049	CLDN19	113	5.2e-31
40	KH2012:KH.C1.105	CCDC51	133	6.97e-35
41	KH2012:KH.C1.1051	ADGRG4	63.9	9.15e-10
42	KH2012:KH.C1.1052	ANKRD44	138	2.97e-35
43	KH2012:KH.C1.1054	CEP85	149	3.25e-37
44	KH2012:KH.C1.1056	GRB10	276	8.81e-87
45	KH2012:KH.C1.1057	XPNPEP1	589	0
46	KH2012:KH.C1.1058	NUP98	41.6	0.002
47	KH2012:KH.C1.1059	IRAK1	196	2.01e-53
48	KH2012:KH.C1.106	SLC22A5	202	3.27e-60
49	KH2012:KH.C1.1060	SLC19A2	418	1.5e-142
50	KH2012:KH.C1.1062	KCNAB1	473	8.62e-168
51	KH2012:KH.C1.1063	SLC7A9	332	7.57e-109
52	KH2012:KH.C1.1064	KDELC1	495	8.59e-173
53	KH2012:KH.C1.1065	ESYT2	474	1.01e-153
54	KH2012:KH.C1.1067	NCS1	261	5.66e-90
55	KH2012:KH.C1.1068	RSU1	96.3	9.6e-23
56	KH2012:KH.C1.107	BHMT	345	4.85e-117
57	KH2012:KH.C1.1073	TMED6	54.7	3.7e-09
58	KH2012:KH.C1.1074	TRAF7	807	0
59	KH2012:KH.C1.1075	EME1	114	2.06e-27
60	KH2012:KH.C1.1076	DYM	598	0
61	KH2012:KH.C1.1077	SDF4	244	5.06e-78
62	KH2012:KH.C1.1079	DUSP1	278	1.93e-90
63	KH2012:KH.C1.108	SS18L1	96.3	4.51e-23
64	KH2012:KH.C1.1080	VWF	42.7	0.000207
65	KH2012:KH.C1.1081	DIS3	1052	0
66	KH2012:KH.C1.1083	EPHA4	910	0
67	KH2012:KH.C1.1084	TXN	84.7	7.31e-23
68	KH2012:KH.C1.1085	ATRN	131	2.41e-31
69	KH2012:KH.C1.1086	TDRD1	169	7.34e-43
70	KH2012:KH.C1.1087	BHMT	339	1.02e-114
71	KH2012:KH.C1.109	CCDC15	88.2	4.23e-18
72	KH2012:KH.C1.1090	WASHC5	1531	0
73	KH2012:KH.C1.1092	MRS2	210	1.78e-62
74	KH2012:KH.C1.1094	ABAT	474	1.95e-164
75	KH2012:KH.C1.1095	DLD	758	0
76	KH2012:KH.C1.1096	HTR1A	127	1.14e-31
77	KH2012:KH.C1.1098	HOXB2	141	4.82e-37
78	KH2012:KH.C1.1099	SGPL1	595	0
79	KH2012:KH.C1.11	HNRNPA1L2	272	1.02e-88
80	KH2012:KH.C1.110	PUF60	523	0
81	KH2012:KH.C1.1100	PCDH18	305	1.75e-87
82	KH2012:KH.C1.1101	MAGEL2	57.4	5.35e-08
